COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
CL108100002,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,0,,,,,,,,11.1839,271240.91,1.5844,0.0,1.5844,38425.8,CerroBlanco_2024,505.4
CL108100004,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,0,,,,,,,,11.1839,792786.73,1.5844,0.0,1.5844,112311.45,CerroBlanco_2024,505.4
CL108130008,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,0,,,,,,,,11.1839,555055.29,1.5844,0.0,1.5844,78632.83,CerroBlanco_2024,505.4
CL108130003,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,0,,,,,,,,11.1839,301884.13,1.5844,0.0,1.5844,42766.92,CerroBlanco_2024,505.4
CL108130007,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,0,,,,,,,,11.1839,1119718.75,1.5844,0.0,1.5844,158626.82,CerroBlanco_2024,505.4
CL108130006,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,0,,,,,,,,11.1839,111237.46,1.5844,0.0,1.5844,15758.64,CerroBlanco_2024,505.4
CL108130005,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,0,,,,,,,,11.1839,168877.63,1.5844,0.0,1.5844,23924.33,CerroBlanco_2024,505.4
CL108130004,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,0,,,,,,,,11.1839,126123.05,1.5844,0.0,1.5844,17867.43,CerroBlanco_2024,505.4
CL108100005,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,0,,,,,,,,11.1839,145622.25,1.5844,0.0,1.5844,20629.82,CerroBlanco_2024,505.4
CL108100006,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,0,,,,,,,,11.1839,455817.24,1.5844,0.0,1.5844,64574.11,CerroBlanco_2024,505.4
CL108101047,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,0,,,,,,,,11.1839,74125.71,1.5844,0.0,1.5844,10501.14,CerroBlanco_2024,505.4
CL108101046,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,0,,,,,,,,11.1839,69009.57,1.5844,0.0,1.5844,9776.36,CerroBlanco_2024,505.4
CL108130002,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,0,,,,,,,,11.1839,274134.44,1.5844,0.0,1.5844,38835.71,CerroBlanco_2024,505.4
CL108130001,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,0,,,,,,,,11.1839,108007.83,1.5844,0.0,1.5844,15301.11,CerroBlanco_2024,505.4
CL108101050,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,0,,,,,,,,11.1839,300236.23,1.5844,0.0,1.5844,42533.47,CerroBlanco_2024,505.4
CL108105002,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,0,,,,,,,,11.1839,297664.48,1.5844,0.0,1.5844,42169.13,CerroBlanco_2024,505.4
CL108101048,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,7,-159.55859375,33.37492794240334,-168.41796875,-39.37408580208241,-132059286.4170928,-22009881.069515467,-33.46797293177005,9.4748,5296367.38,1.3423,2.3624,2.7171,750318.71,CerroBlanco_2024,505.4
CL108116003,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,0,,,,,,,,11.1839,353626.45,1.5844,0.0,1.5844,50097.08,CerroBlanco_2024,505.4
CL108116002,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,0,,,,,,,,11.1839,145646.5,1.5844,0.0,1.5844,20633.25,CerroBlanco_2024,505.4
CL108116001,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,0,,,,,,,,11.1839,169551.3,1.5844,0.0,1.5844,24019.77,CerroBlanco_2024,505.4
CL108116005,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,0,,,,,,,,11.1839,199293.22,1.5844,0.0,1.5844,28233.21,CerroBlanco_2024,505.4
CL108116006,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,0,,,,,,,,11.1839,236520.61,1.5844,0.0,1.5844,33507.09,CerroBlanco_2024,505.4
CL108116004,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,787,-4.408022578819885,17.305148324856276,-4.128662109375,-0.774636883596321,-3363284.037546832,-560547.3395911386,-0.6584413510568728,8.3276,6026033.72,1.1797,0.0465,1.1807,853688.11,CerroBlanco_2024,505.4
CL108101049,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,0,,,,,,,,11.1839,1225846.51,1.5844,0.0,1.5844,173661.59,CerroBlanco_2024,505.4
CL108105003,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,0,,,,,,,,11.1839,1994148.4,1.5844,0.0,1.5844,282504.36,CerroBlanco_2024,505.4
CL108130009,CerroBlanco_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,0,,,,,,,,11.1839,980421.44,1.5844,0.0,1.5844,138893.04,CerroBlanco_2024,505.4
CL108130010,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,149,6.584249816484899,10.99266438236416,6.921875,1.4240374204186663,913583.0477054835,152263.84128424726,1.2104318073558664,0.8701,93034.36,0.1233,0.0854,0.15,13179.87,ASTER_20180301,37.4
CL108100003,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,23,-11.128587805706522,3.636848376090917,-11.22412109375,-1.630644961569275,-274056.00854247576,-45676.00142374596,-1.3860482173338837,1.7,47617.87,0.2408,0.0978,0.2599,6745.87,ASTER_20180301,37.4
CL108100002,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,0,,,,,,,,1.8269,44308.4,0.2588,0.0,0.2588,6277.02,ASTER_20180301,37.4
CL108100004,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,90,-8.208184136284721,7.224385442397185,-9.3402099609375,-1.7461055016413232,-742649.147861407,-123774.85797690117,-1.4841896763951246,1.0686,75750.7,0.1514,0.1048,0.1841,10731.35,ASTER_20180301,37.4
CL108130008,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,71,1.945343447403169,3.7808005718765187,1.51708984375,0.41608666194183025,123901.58679401687,20650.26446566948,0.3536736626505557,1.2771,63383.55,0.1809,0.025,0.1826,8979.34,ASTER_20180301,37.4
CL108130003,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,23,0.2032523777173913,8.175835024025268,1.636962890625,0.033501805762374694,5425.819332654494,904.3032221090824,0.028476534898018487,1.7317,46744.29,0.2453,0.002,0.2453,6622.11,ASTER_20180301,37.4
CL108130007,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,119,-5.769371225052521,13.487476597245168,-4.77392578125,-1.3113228215870665,-787726.4015499589,-131287.7335916598,-1.1146243983490065,0.8992,90024.96,0.1274,0.0787,0.1497,12753.54,ASTER_20180301,37.4
CL108130006,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,12,5.934366861979167,4.500453894993347,5.7994384765625,1.257162088216211,75023.81993984517,12503.969989974195,1.0685877749837793,2.8528,28374.88,0.4042,0.0754,0.4111,4019.77,ASTER_20180301,37.4
CL108130005,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,18,2.904880099826389,5.2045641269469485,2.895751953125,0.6404265141304147,58022.744946181214,9670.457491030202,0.5443625370108525,2.3154,34961.86,0.328,0.0384,0.3303,4952.93,ASTER_20180301,37.4
CL108130004,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,16,4.8201446533203125,4.690460564540303,4.401611328125,1.0575016477531525,71553.74198098868,11925.623663498112,0.8988764005901796,2.6792,30213.82,0.3796,0.0635,0.3848,4280.29,ASTER_20180301,37.4
CL108100005,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,0,,,,,,,,2.4934,32465.52,0.3532,0.0,0.3532,4599.28,ASTER_20180301,37.4
CL108100006,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,0,,,,,,,,1.4093,57438.6,0.1997,0.0,0.1997,8137.13,ASTER_20180301,37.4
CL108101047,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,0,,,,,,,,3.4948,23162.9,0.4951,0.0,0.4951,3281.41,ASTER_20180301,37.4
CL108101046,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,0,,,,,,,,3.622,22349.26,0.5131,0.0,0.5131,3166.14,ASTER_20180301,37.4
CL108130002,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,0,,,,,,,,1.8173,44544.11,0.2574,0.0,0.2574,6310.42,ASTER_20180301,37.4
CL108130001,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,0,,,,,,,,2.8952,27959.93,0.4102,0.0,0.4102,3960.99,ASTER_20180301,37.4
CL108101050,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,0,,,,,,,,1.7365,46616.54,0.246,0.0,0.246,6604.01,ASTER_20180301,37.4
CL108105002,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,0,,,,,,,,1.744,46416.45,0.2471,0.0,0.2471,6575.66,ASTER_20180301,37.4
CL108101048,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,0,,,,,,,,0.3805,212720.46,0.0539,0.0,0.0539,30135.4,ASTER_20180301,37.4
CL108116003,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,0,,,,,,,,1.6,50591.88,0.2267,0.0,0.2267,7167.18,ASTER_20180301,37.4
CL108116002,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,0,,,,,,,,2.4932,32468.22,0.3532,0.0,0.3532,4599.66,ASTER_20180301,37.4
CL108116001,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,0,,,,,,,,2.3107,35031.52,0.3274,0.0,0.3274,4962.8,ASTER_20180301,37.4
CL108116005,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,0,,,,,,,,2.1314,37979.98,0.3019,0.0,0.3019,5380.5,ASTER_20180301,37.4
CL108116006,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,0,,,,,,,,1.9564,41375.47,0.2772,0.0,0.2772,5861.53,ASTER_20180301,37.4
CL108116004,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,0,,,,,,,,0.3345,242026.39,0.0474,0.0,0.0474,34287.07,ASTER_20180301,37.4
CL108101049,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,0,,,,,,,,0.8594,94194.71,0.1217,0.0,0.1217,13344.25,ASTER_20180301,37.4
CL108105003,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,0,,,,,,,,0.6738,120139.88,0.0955,0.0,0.0955,17019.82,ASTER_20180301,37.4
CL108130009,LasTermas_2024_minus_ASTER_20180301,2018,2024,6,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,49,-9.325987523915817,6.74320920603735,-10.149169921875,-1.1463602160407882,-602963.1042153586,-100493.85070255976,-0.9744061836346699,0.9609,84239.32,0.1361,0.0688,0.1525,11933.9,ASTER_20180301,37.4
