COD_GLA,epoch,t_start,t_end,dt_yr,clip_outline,end_outline,outline_set,area_start_m2,area_end_m2,area_mean_m2,count,mean,std,median,dh_yr_m,dV_m3,dV_yr_m3,mb_mwe_yr,sigma_dh_m,sigma_dV_m3,sigma_mb_elev_mwe_yr,sigma_mb_density_mwe_yr,sigma_mb_mwe_yr,sigma_mb_total_m3yr,uncertainty_source,corr_length_m
6_1975,Pleiades_2025_minus_IGM_1954,1954,2025,71,1975,2000+2019,1975,1605494.7728103418,225125.07448924115,915309.9236497915,1788,12.407624178551455,23.269505882555503,6.7728271484375,0.3065286035364558,19920375.76165957,280568.67269943055,0.2605493130059874,15.5703,14251680.23,0.1864,0.0184,0.1873,170618.71,IGM_1954,663.7
CL108130010,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,138752.79237099385,75095.29771568626,106924.04504334005,0,,,,,,,,11.1839,1195830.98,0.3961,0.0,0.3961,42352.35,CerroBlanco_2024,505.4
CL108100003,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,24626.305990230423,31395.700639329196,28011.00331477981,0,,,,,,,,11.1839,313273.08,0.3961,0.0,0.3961,11095.09,CerroBlanco_2024,505.4
CL108100002,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,22703.88255318053,25801.593847761767,24252.738200471147,0,,,,,,,,11.1839,271240.91,0.3961,0.0,0.3961,9606.45,CerroBlanco_2024,505.4
CL108100004,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,90476.6676198803,51295.81733083308,70886.24247535669,0,,,,,,,,11.1839,792786.73,0.3961,0.0,0.3961,28077.86,CerroBlanco_2024,505.4
CL108130008,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,63691.36871919074,35568.0709816494,49629.719850420064,0,,,,,,,,11.1839,555055.29,0.3961,0.0,0.3961,19658.21,CerroBlanco_2024,505.4
CL108130003,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26694.98577870872,27290.35629647517,26992.671037591943,0,,,,,,,,11.1839,301884.13,0.3961,0.0,0.3961,10691.73,CerroBlanco_2024,505.4
CL108130007,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,136535.91887611424,63701.17214433337,100118.5455102238,0,,,,,,,,11.1839,1119718.75,0.3961,0.0,0.3961,39656.71,CerroBlanco_2024,505.4
CL108130006,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,12642.261876412545,7250.113350581604,9946.187613497075,0,,,,,,,,11.1839,111237.46,0.3961,0.0,0.3961,3939.66,CerroBlanco_2024,505.4
CL108130005,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,19974.23058860466,10225.822899689665,15100.026744147162,0,,,,,,,,11.1839,168877.63,0.3961,0.0,0.3961,5981.08,CerroBlanco_2024,505.4
CL108130004,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,14844.72917876013,7709.606672793749,11277.16792577694,0,,,,,,,,11.1839,126123.05,0.3961,0.0,0.3961,4466.86,CerroBlanco_2024,505.4
CL108100005,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26041.33993567226,0.0,13020.66996783613,0,,,,,,,,11.1839,145622.25,0.3961,0.0,0.3961,5157.45,CerroBlanco_2024,505.4
CL108100006,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,69821.42677698063,11691.4692632816,40756.448020131116,0,,,,,,,,11.1839,455817.24,0.3961,0.0,0.3961,16143.53,CerroBlanco_2024,505.4
CL108101047,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,13255.754918359344,0.0,6627.877459179672,0,,,,,,,,11.1839,74125.71,0.3961,0.0,0.3961,2625.29,CerroBlanco_2024,505.4
CL108101046,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,12340.844277467144,0.0,6170.422138733572,0,,,,,,,,11.1839,69009.57,0.3961,0.0,0.3961,2444.09,CerroBlanco_2024,505.4
CL108130002,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,49022.9203716103,0.0,24511.46018580515,0,,,,,,,,11.1839,274134.44,0.3961,0.0,0.3961,9708.93,CerroBlanco_2024,505.4
CL108130001,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,19314.826235377994,0.0,9657.413117688997,0,,,,,,,,11.1839,108007.83,0.3961,0.0,0.3961,3825.28,CerroBlanco_2024,505.4
CL108101050,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,29941.252559608027,23749.39846280247,26845.32551120525,0,,,,,,,,11.1839,300236.23,0.3961,0.0,0.3961,10633.37,CerroBlanco_2024,505.4
CL108105002,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,29694.91054588282,23535.83946909417,26615.375007488496,0,,,,,,,,11.1839,297664.48,0.3961,0.0,0.3961,10542.28,CerroBlanco_2024,505.4
CL108101048,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,827653.8625303145,290334.30766620673,558994.0850982605,6,-166.7012939453125,31.54801093705146,-175.0386962890625,-10.28417037412141,-137970969.82263923,-5748790.409276634,-8.741544818003199,9.4748,5296367.38,0.3356,0.6171,0.7024,187579.68,CerroBlanco_2024,505.4
CL108116003,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,26466.280941614546,36772.03853463371,31619.15973812413,0,,,,,,,,11.1839,353626.45,0.3961,0.0,0.3961,12524.27,CerroBlanco_2024,505.4
CL108116002,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,13866.03001181834,12179.645134956761,13022.837573387551,0,,,,,,,,11.1839,145646.5,0.3961,0.0,0.3961,5158.31,CerroBlanco_2024,505.4
CL108116001,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,18554.6117623248,11765.91181544425,15160.261788884523,0,,,,,,,,11.1839,169551.3,0.3961,0.0,0.3961,6004.94,CerroBlanco_2024,505.4
CL108116005,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,15456.35357608546,20182.859550357967,17819.606563221714,0,,,,,,,,11.1839,199293.22,0.3961,0.0,0.3961,7058.3,CerroBlanco_2024,505.4
CL108116006,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,20412.057947138117,21884.45546478374,21148.25670596093,0,,,,,,,,11.1839,236520.61,0.3961,0.0,0.3961,8376.77,CerroBlanco_2024,505.4
CL108116004,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,762991.5630893274,684260.3079776622,723625.9355334948,798,-14.348438234257518,17.234207626466578,-14.743408203125,-0.6303750309529496,-10947737.316246813,-456155.7215102839,-0.5358187763100071,8.3276,6026033.72,0.2949,0.0378,0.2973,213422.03,CerroBlanco_2024,505.4
CL108101049,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,178776.33561684683,40439.3738689701,109607.85474290847,0,,,,,,,,11.1839,1225846.51,0.3961,0.0,0.3961,43415.4,CerroBlanco_2024,505.4
CL108105003,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,181142.5192812589,175467.09766120606,178304.80847123248,0,,,,,,,,11.1839,1994148.4,0.3961,0.0,0.3961,70626.09,CerroBlanco_2024,505.4
CL108130009,CerroBlanco_2024_minus_SRTM_2000,2000,2024,24,2000,2019,2000,64654.07579294992,110672.753063058,87663.41442800396,0,,,,,,,,11.1839,980421.44,0.3961,0.0,0.3961,34723.26,CerroBlanco_2024,505.4
