glacier_id,dH,slope,aspect,elevation
CL108116004@,-2.5378418,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.1252441,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,2.692871,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,4.6726074,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-1.6091309,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.904541,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.238037,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-7.628174,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-4.260254,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.595459,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.042236,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.898926,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-12.729492,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-13.973389,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-16.5271,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-18.765137,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-19.924072,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-8.000732,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-14.538818,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-17.824707,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-13.735352,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-11.362793,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,5.3085938,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,8.08374,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,7.7348633,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,3.1225586,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,-0.31567383,-9999.0,-9999.0,3.3999999521443642e+38
CL108116004@,6.0878906,-9999.0,-9999.0,3.3999999521443642e+38
